Area,Year,Crime,Cases_Convicted,Cases_Pending_at_Year_End,Cases_Pending_previous_year,Total_Cases_for_Trial,Cases_Trials_Completed
Andaman & Nicobar Islands,2010,Rape,0,17,13,65,0
Andhra Pradesh,2010,Rape,141,768,730,3616,1031
Arunachal Pradesh,2010,Rape,4,36,29,517,6
Assam,2010,Rape,95,2525,2343,5335,526
Bihar,2010,Rape,227,1126,1118,4154,873
Chandigarh,2010,Rape,14,12,17,77,31
Chhattisgarh,2010,Rape,204,131,95,4487,825
Dadra & Nagar Haveli,2010,Rape,2,4,5,17,4
Daman & Diu,2010,Rape,0,0,0,2,0
Delhi,2010,Rape,141,78,65,1817,407
Goa,2010,Rape,5,36,48,105,27
Gujarat,2010,Rape,33,70,82,2931,187
Haryana,2010,Rape,113,105,89,1479,456
Himachal Pradesh,2010,Rape,21,49,56,585,110
Jammu & Kashmir,2010,Rape,3,96,84,1138,143
Jharkhand,2010,Rape,171,621,682,2300,596
Karnataka,2010,Rape,54,199,172,1682,350
Kerala,2010,Rape,45,435,482,4071,256
Lakshadweep,2010,Rape,0,0,0,2,0
Madhya Pradesh,2010,Rape,777,199,223,10886,2751
Maharashtra,2010,Rape,146,606,515,13313,1048
Manipur,2010,Rape,1,165,146,66,3
Meghalaya,2010,Rape,4,306,249,494,9
Mizoram,2010,Rape,84,13,15,184,87
Nagaland,2010,Rape,14,4,2,49,19
Odisha,2010,Rape,132,746,930,4805,666
Puducherry,2010,Rape,1,3,2,34,1
Punjab,2010,Rape,166,208,193,947,490
Rajasthan,2010,Rape,202,178,140,3502,656
Sikkim,2010,Rape,2,3,16,89,3
Tamil Nadu,2010,Rape,105,565,439,1930,432
Tripura,2010,Rape,28,117,74,764,112
Uttar Pradesh,2010,Rape,705,110,98,5537,1392
Uttarakhand,2010,Rape,58,5,4,343,111
West Bengal,2010,Rape,90,2444,2108,12384,655
Andaman & Nicobar Islands,2010,Kidnapping & Abduction - Women & Girls,0,11,13,37,0
Andhra Pradesh,2010,Kidnapping & Abduction - Women & Girls,75,551,589,3614,824
Arunachal Pradesh,2010,Kidnapping & Abduction - Women & Girls,2,30,20,421,4
Assam,2010,Kidnapping & Abduction - Women & Girls,106,4126,3354,4053,615
Bihar,2010,Kidnapping & Abduction - Women & Girls,108,2262,1846,4833,689
Chandigarh,2010,Kidnapping & Abduction - Women & Girls,6,29,34,47,14
Chhattisgarh,2010,Kidnapping & Abduction - Women & Girls,36,117,77,881,145
Dadra & Nagar Haveli,2010,Kidnapping & Abduction - Women & Girls,1,13,8,31,3
Daman & Diu,2010,Kidnapping & Abduction - Women & Girls,0,3,2,2,0
Delhi,2010,Kidnapping & Abduction - Women & Girls,85,2407,2247,1820,226
Goa,2010,Kidnapping & Abduction - Women & Girls,1,22,24,44,9
Gujarat,2010,Kidnapping & Abduction - Women & Girls,51,338,365,7636,401
Haryana,2010,Kidnapping & Abduction - Women & Girls,91,198,196,1319,350
Himachal Pradesh,2010,Kidnapping & Abduction - Women & Girls,5,65,44,267,33
Jammu & Kashmir,2010,Kidnapping & Abduction - Women & Girls,5,522,482,3981,255
Jharkhand,2010,Kidnapping & Abduction - Women & Girls,67,448,343,1149,376
Karnataka,2010,Kidnapping & Abduction - Women & Girls,14,197,191,1180,200
Kerala,2010,Kidnapping & Abduction - Women & Girls,4,87,106,875,76
Lakshadweep,2010,Kidnapping & Abduction - Women & Girls,0,0,0,1,0
Madhya Pradesh,2010,Kidnapping & Abduction - Women & Girls,208,333,265,3108,641
Maharashtra,2010,Kidnapping & Abduction - Women & Girls,21,722,550,6996,387
Manipur,2010,Kidnapping & Abduction - Women & Girls,0,384,317,25,2
Meghalaya,2010,Kidnapping & Abduction - Women & Girls,0,124,97,91,6
Mizoram,2010,Kidnapping & Abduction - Women & Girls,0,0,0,0,0
Nagaland,2010,Kidnapping & Abduction - Women & Girls,4,3,6,20,14
Odisha,2010,Kidnapping & Abduction - Women & Girls,31,879,921,2938,402
Puducherry,2010,Kidnapping & Abduction - Women & Girls,2,3,4,45,5
Punjab,2010,Kidnapping & Abduction - Women & Girls,47,339,316,1081,170
Rajasthan,2010,Kidnapping & Abduction - Women & Girls,128,323,231,4919,372
Sikkim,2010,Kidnapping & Abduction - Women & Girls,1,6,11,23,2
Tamil Nadu,2010,Kidnapping & Abduction - Women & Girls,104,945,662,1721,429
Tripura,2010,Kidnapping & Abduction - Women & Girls,3,45,28,235,36
Uttar Pradesh,2010,Kidnapping & Abduction - Women & Girls,1594,1045,717,10695,3052
Uttarakhand,2010,Kidnapping & Abduction - Women & Girls,36,42,45,651,93
West Bengal,2010,Kidnapping & Abduction - Women & Girls,37,2952,2758,9767,390
Andaman & Nicobar Islands,2010,Dowry Deaths,0,1,1,4,0
Andhra Pradesh,2010,Dowry Deaths,80,331,309,1685,502
Arunachal Pradesh,2010,Dowry Deaths,0,0,0,0,0
Assam,2010,Dowry Deaths,13,216,216,430,58
Bihar,2010,Dowry Deaths,146,2263,1999,4458,582
Chandigarh,2010,Dowry Deaths,2,1,0,11,6
Chhattisgarh,2010,Dowry Deaths,31,18,12,464,78
Dadra & Nagar Haveli,2010,Dowry Deaths,0,1,1,1,0
Daman & Diu,2010,Dowry Deaths,0,0,0,1,1
Delhi,2010,Dowry Deaths,27,77,73,996,131
Goa,2010,Dowry Deaths,1,4,3,8,2
Gujarat,2010,Dowry Deaths,1,3,6,518,8
Haryana,2010,Dowry Deaths,89,30,35,768,223
Himachal Pradesh,2010,Dowry Deaths,0,0,0,23,1
Jammu & Kashmir,2010,Dowry Deaths,0,2,2,64,8
Jharkhand,2010,Dowry Deaths,74,294,302,699,250
Karnataka,2010,Dowry Deaths,32,96,106,846,181
Kerala,2010,Dowry Deaths,1,17,27,177,13
Lakshadweep,2010,Dowry Deaths,0,0,0,0,0
Madhya Pradesh,2010,Dowry Deaths,230,77,66,2901,665
Maharashtra,2010,Dowry Deaths,22,117,132,3853,329
Manipur,2010,Dowry Deaths,0,1,1,0,0
Meghalaya,2010,Dowry Deaths,0,4,4,5,0
Mizoram,2010,Dowry Deaths,0,0,0,0,0
Nagaland,2010,Dowry Deaths,0,0,0,0,0
Odisha,2010,Dowry Deaths,50,380,486,1927,415
Puducherry,2010,Dowry Deaths,0,1,1,15,1
Punjab,2010,Dowry Deaths,56,81,102,389,108
Rajasthan,2010,Dowry Deaths,100,70,46,1910,231
Sikkim,2010,Dowry Deaths,0,1,0,0,0
Tamil Nadu,2010,Dowry Deaths,46,117,115,707,164
Tripura,2010,Dowry Deaths,3,18,16,104,18
Uttar Pradesh,2010,Dowry Deaths,992,310,303,8753,1831
Uttarakhand,2010,Dowry Deaths,39,13,13,283,86
West Bengal,2010,Dowry Deaths,24,494,480,2332,229
Andaman & Nicobar Islands,2010,Molestation,0,10,6,194,3
Andhra Pradesh,2010,Molestation,496,1174,1229,9433,2421
Arunachal Pradesh,2010,Molestation,4,35,14,401,8
Assam,2010,Molestation,73,1077,939,2663,449
Bihar,2010,Molestation,73,569,573,2612,407
Chandigarh,2010,Molestation,7,14,15,95,31
Chhattisgarh,2010,Molestation,409,98,66,9417,1383
Dadra & Nagar Haveli,2010,Molestation,1,6,0,23,1
Daman & Diu,2010,Molestation,0,3,4,6,1
Delhi,2010,Molestation,169,359,345,4056,415
Goa,2010,Molestation,4,25,30,107,25
Gujarat,2010,Molestation,22,62,69,7596,442
Haryana,2010,Molestation,117,39,41,2085,387
Himachal Pradesh,2010,Molestation,17,44,52,1557,121
Jammu & Kashmir,2010,Molestation,29,233,150,4963,373
Jharkhand,2010,Molestation,49,170,183,1083,317
Karnataka,2010,Molestation,52,619,470,6614,1206
Kerala,2010,Molestation,168,446,376,12107,1381
Lakshadweep,2010,Molestation,0,0,0,1,0
Madhya Pradesh,2010,Molestation,1749,93,99,31262,4730
Maharashtra,2010,Molestation,162,1284,1042,29413,1917
Manipur,2010,Molestation,0,194,176,9,0
Meghalaya,2010,Molestation,3,108,97,210,12
Mizoram,2010,Molestation,71,4,2,129,78
Nagaland,2010,Molestation,9,4,6,24,10
Odisha,2010,Molestation,98,1188,1230,17186,1340
Puducherry,2010,Molestation,7,0,1,275,31
Punjab,2010,Molestation,77,197,228,905,209
Rajasthan,2010,Molestation,550,24,16,10469,1073
Sikkim,2010,Molestation,3,3,7,32,7
Tamil Nadu,2010,Molestation,508,446,278,4267,1090
Tripura,2010,Molestation,22,53,25,1117,173
Uttar Pradesh,2010,Molestation,1818,99,71,9718,2552
Uttarakhand,2010,Molestation,51,4,6,477,62
West Bengal,2010,Molestation,81,2755,2309,12230,572
Andaman & Nicobar Islands,2010,Sexual harassment,0,6,4,27,0
Andhra Pradesh,2010,Sexual harassment,731,515,664,6521,2091
Arunachal Pradesh,2010,Sexual harassment,0,1,2,11,0
Assam,2010,Sexual harassment,3,9,5,15,7
Bihar,2010,Sexual harassment,0,10,6,59,3
Chandigarh,2010,Sexual harassment,8,4,0,34,17
Chhattisgarh,2010,Sexual harassment,31,13,8,621,84
Dadra & Nagar Haveli,2010,Sexual harassment,0,1,1,2,0
Daman & Diu,2010,Sexual harassment,0,0,0,3,1
Delhi,2010,Sexual harassment,47,91,116,570,87
Goa,2010,Sexual harassment,2,7,6,39,6
Gujarat,2010,Sexual harassment,9,9,5,1022,74
Haryana,2010,Sexual harassment,334,46,24,1452,441
Himachal Pradesh,2010,Sexual harassment,1,20,7,178,12
Jammu & Kashmir,2010,Sexual harassment,100,63,54,1500,203
Jharkhand,2010,Sexual harassment,3,59,61,34,11
Karnataka,2010,Sexual harassment,0,130,68,78,22
Kerala,2010,Sexual harassment,70,62,62,1307,232
Lakshadweep,2010,Sexual harassment,0,0,0,0,0
Madhya Pradesh,2010,Sexual harassment,309,17,6,2767,606
Maharashtra,2010,Sexual harassment,34,493,414,9233,664
Manipur,2010,Sexual harassment,0,2,2,0,0
Meghalaya,2010,Sexual harassment,0,17,17,4,0
Mizoram,2010,Sexual harassment,1,0,0,1,1
Nagaland,2010,Sexual harassment,0,1,0,2,0
Odisha,2010,Sexual harassment,11,76,89,1306,140
Puducherry,2010,Sexual harassment,2,0,1,100,10
Punjab,2010,Sexual harassment,13,17,16,77,25
Rajasthan,2010,Sexual harassment,9,2,0,105,11
Sikkim,2010,Sexual harassment,0,0,0,0,0
Tamil Nadu,2010,Sexual harassment,417,86,94,1650,724
Tripura,2010,Sexual harassment,0,2,0,9,2
Uttar Pradesh,2010,Sexual harassment,1951,0,17,6669,2555
Uttarakhand,2010,Sexual harassment,244,1,6,795,273
West Bengal,2010,Sexual harassment,37,115,91,192,92
Andaman & Nicobar Islands,2010,Cruelty by Husband and Relatives,0,2,7,67,2
Andhra Pradesh,2010,Cruelty by Husband and Relatives,756,3670,4558,28779,6099
Arunachal Pradesh,2010,Cruelty by Husband and Relatives,1,5,2,89,3
Assam,2010,Cruelty by Husband and Relatives,227,3990,3093,8725,1529
Bihar,2010,Cruelty by Husband and Relatives,182,3011,2714,6821,1244
Chandigarh,2010,Cruelty by Husband and Relatives,7,57,93,314,67
Chhattisgarh,2010,Cruelty by Husband and Relatives,142,72,61,5318,618
Dadra & Nagar Haveli,2010,Cruelty by Husband and Relatives,2,4,4,19,2
Daman & Diu,2010,Cruelty by Husband and Relatives,0,3,2,14,2
Delhi,2010,Cruelty by Husband and Relatives,83,4771,4332,3450,435
Goa,2010,Cruelty by Husband and Relatives,0,19,19,63,8
Gujarat,2010,Cruelty by Husband and Relatives,110,706,632,39915,3201
Haryana,2010,Cruelty by Husband and Relatives,131,798,660,7813,1382
Himachal Pradesh,2010,Cruelty by Husband and Relatives,7,59,50,1455,109
Jammu & Kashmir,2010,Cruelty by Husband and Relatives,8,102,89,571,33
Jharkhand,2010,Cruelty by Husband and Relatives,177,696,783,1638,668
Karnataka,2010,Cruelty by Husband and Relatives,75,736,733,9002,1783
Kerala,2010,Cruelty by Husband and Relatives,127,1033,951,18967,2563
Lakshadweep,2010,Cruelty by Husband and Relatives,0,1,1,2,0
Madhya Pradesh,2010,Cruelty by Husband and Relatives,871,197,136,15340,2261
Maharashtra,2010,Cruelty by Husband and Relatives,104,1789,1888,58802,5000
Manipur,2010,Cruelty by Husband and Relatives,0,93,79,4,0
Meghalaya,2010,Cruelty by Husband and Relatives,0,58,44,30,2
Mizoram,2010,Cruelty by Husband and Relatives,2,0,0,3,2
Nagaland,2010,Cruelty by Husband and Relatives,2,0,0,2,2
Odisha,2010,Cruelty by Husband and Relatives,99,900,1075,8727,1138
Puducherry,2010,Cruelty by Husband and Relatives,0,1,1,40,8
Punjab,2010,Cruelty by Husband and Relatives,123,683,711,3936,532
Rajasthan,2010,Cruelty by Husband and Relatives,1042,360,323,27290,2417
Sikkim,2010,Cruelty by Husband and Relatives,0,3,3,12,0
Tamil Nadu,2010,Cruelty by Husband and Relatives,211,542,456,4940,1041
Tripura,2010,Cruelty by Husband and Relatives,39,180,70,2586,436
Uttar Pradesh,2010,Cruelty by Husband and Relatives,3024,981,1016,20233,5485
Uttarakhand,2010,Cruelty by Husband and Relatives,64,46,60,1252,174
West Bengal,2010,Cruelty by Husband and Relatives,148,8934,8583,81124,2505
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
